Year;D_Area;D_AreaAcc;VR_CO2_1stOrder;VR_CO2_2ndOrder;SV_CO2Emission;SV_CO2Absorption;NET_CO2_1stOrder;NET_2nd_Order;category;DEGRAD_CO2Absorption;DEGRAD_Area;DEGRAD_CO2Emission;NET_1st_Order;NET_2nd_Order;SV_AreaTotal;SV_AreaCleared;VR_CH42Eq_2ndOrderFire;NET_CO2_2ndOrder;VR_N2OEq_2ndOrderFire;NET_CO2_1stOrder;VR_CO2_2ndOrderFire;VR_CO2_2ndOrderDecay
1960;842754;842754;459;149;0;0;459;;without_degradation;;;;;;176978;0;16;149;4;459;149;0
1961;842754;1685508;459;247;0;0;459;;without_degradation;;;;;;353956;0;16;247;4;459;149;98
1962;842754;2528262;459;309;0;0;459;;without_degradation;;;;;;530935;0;16;309;4;459;149;159
1963;842754;3371016;459;347;0;-2;457;;without_degradation;;;;;;707913;0;16;345;4;457;149;198
1964;842754;4213770;459;373;0;-5;454;;without_degradation;;;;;;884891;0;16;368;4;454;149;224
1965;842754;5056524;459;390;0;-8;451;;without_degradation;;;;;;1061870;0;16;382;4;451;149;241
1966;842754;5899278;459;402;0;-10;449;;without_degradation;;;;;;1238848;7070;16;392;4;449;149;253
1967;842754;6742032;459;411;0;-13;446;;without_degradation;;;;;;1415826;13857;16;398;4;446;149;262
1968;842754;7584786;459;417;1;-15;445;;without_degradation;;;;;;1592805;21566;16;403;4;445;149;268
1969;842754;8427540;459;422;2;-18;443;;without_degradation;;;;;;1769783;28155;16;406;4;443;149;273
1970;842754;9270294;459;426;3;-20;442;;without_degradation;;;;;;1946761;36507;16;408;4;442;149;277
1971;842754;10113048;459;429;3;-22;440;;without_degradation;;;;;;2123740;42849;16;410;4;440;149;280
1972;842754;10955802;459;431;4;-25;438;;without_degradation;;;;;;2300718;51831;16;411;4;438;149;282
1973;842754;11798556;459;433;5;-27;437;;without_degradation;;;;;;2477696;58217;16;412;4;437;149;284
1974;842754;12641310;459;435;7;-29;437;;without_degradation;;;;;;2654675;68514;16;413;4;437;149;286
1975;842754;13484064;459;437;8;-31;436;;without_degradation;;;;;;2831653;75265;16;413;4;436;149;288
1976;842754;14326818;459;438;10;-34;435;;without_degradation;;;;;;3008631;86970;16;414;4;435;149;289
1977;842754;15169572;459;439;11;-36;434;;without_degradation;;;;;;3185610;94070;16;414;4;434;149;290
1978;842754;16012326;459;440;12;-38;433;;without_degradation;;;;;;3362588;101127;16;414;4;433;149;291
1979;2150000;18162326;1172;673;13;-41;1144;;without_degradation;;;;;;3814088;108293;41;645;12;1144;380;292
1980;2150000;20312326;1172;827;15;-43;1144;;without_degradation;;;;;;4265588;115415;41;799;12;1144;380;446
1981;2105000;22417326;1147;914;17;-45;1119;;without_degradation;;;;;;4707638;129570;40;886;12;1119;372;542
1982;2105000;24522326;1147;970;19;-52;1114;;without_degradation;;;;;;5149688;137060;40;937;12;1114;372;598
1983;2105000;26627326;1147;1007;21;-58;1110;;without_degradation;;;;;;5591738;152830;40;970;12;1110;372;634
1984;2105000;28732326;1147;1032;22;-64;1105;;without_degradation;;;;;;6033788;160746;40;990;12;1105;372;660
1985;2105000;30837326;1147;1050;25;-70;1102;;without_degradation;;;;;;6475838;186986;40;1005;12;1102;372;677
1986;2105000;32942326;1147;1063;29;-76;1100;;without_degradation;;;;;;6917888;224934;40;1015;12;1100;372;690
1987;2105000;35047326;1147;1072;32;-82;1097;;without_degradation;;;;;;7359938;249581;40;1023;12;1097;372;700
1988;2105000;37152326;1147;1080;35;-87;1095;;without_degradation;;;;;;7801988;273450;40;1028;12;1095;372;707
1989;1777000;38929326;968;1028;40;-85;923;;without_degradation;;;;;;8175158;315170;34;982;10;923;314;713
1990;1373000;40302326;748;923;43;-91;700;;without_degradation;;;;;;8463488;338382;26;875;8;700;242;680
1991;1103000;41405326;601;808;45;-96;550;;without_degradation;;;;;;8695118;360325;21;757;6;550;195;612
1992;1378600;42783926;751;784;48;-101;698;;without_degradation;;;;;;8984624;382625;26;731;8;698;243;540
1993;1489600;44273526;812;790;53;-105;760;;without_degradation;;;;;;9297440;431497;28;738;8;760;263;527
1994;1489600;45763126;812;794;56;-107;761;;without_degradation;;;;;;9610256;456019;28;743;8;761;263;531
1995;2905900;48669026;1584;1047;60;-111;1533;;without_degradation;;;;;;10220495;473986;56;996;17;1533;514;533
1996;1816100;50485126;990;1021;63;-115;938;;without_degradation;;;;;;10601876;486195;35;969;10;938;321;700
1997;1322700;51807826;721;909;66;-119;668;;without_degradation;;;;;;10879643;519775;25;855;7;668;233;675
1998;1738300;53546126;947;911;69;-128;888;;without_degradation;;;;;;11244686;533963;33;852;10;888;307;603
1999;1725900;55272026;941;914;72;-133;880;;without_degradation;;;;;;11607125;551578;33;853;10;880;305;609
2000;1822600;57094626;993;933;75;-136;932;;without_degradation;;;;;;11989871;572604;35;872;10;932;322;610
2001;1816500;58911126;990;944;80;-141;929;;without_degradation;;;;;;12371336;626457;35;883;10;929;321;623
2002;2165088;59718077;1093;993;82;-146;1029;;without_degradation;;;;;;12540796;684795;39;929;12;1029;362;630
2003;2539514;62257592;1301;1074;85;-149;1237;;without_degradation;;;;;;13528762;695042;47;1010;14;1237;432;641
2004;2777131;65034723;1410;1162;89;-154;1345;;without_degradation;;;;;;14111960;719606;51;1097;15;1345;469;692
2005;1901393;66936117;954;1066;92;-159;887;;without_degradation;;;;;;14511253;742490;34;1000;10;887;320;746
2006;1428628;68364745;747;936;96;-165;678;;without_degradation;;;;;;14811265;767321;26;866;8;678;246;689
2007;1164972;69529718;633;824;100;-172;561;;without_degradation;;;;;;15055909;791493;22;751;6;561;206;617
2008;1291096;70820815;699;780;106;-177;628;;without_degradation;;;;;;15327039;864789;25;709;7;628;229;551
